,"YouTube video link.  Use a link to somewhere in the middle of the lecture, not the beginning, which is usually boring. ",Thumbnail link.,Course or Lecture Series name,University ,Professor or Speaker,Your name

Biology,https://www.youtube.com/embed/oKNAzl-XN4I?start=5511,https://img.youtube.com/vi/oKNAzl-XN4I/1.jpg,Human Behavioral Biology,Stanford,Robert Sapolsky,Prof. Amenta
Biology,https://www.youtube.com/embed/QTdJiG7mV40?start=544,http://i3.ytimg.com/vi/QTdJiG7mV40?t=542/hqdefault.jpg,Enzymes and metabolism,MIT,Barbara Imperiali,Priya Talreja
Biology,https://www.youtube.com/embed/DRBREvFL19g?start=738,https://i.ytimg.com/an_webp/DRBREvFL19g/mqdefault_6s.webp?du=3000&sqp=CNjxs4UG&rs=AOn4CLCiAazoQFH2nx9gtrQPmxt2v69Rdg,DNA Replication,MIT,Eric Lander,Yingzhe Liu
Biology,https://www.youtube.com/embed/KlVHqq38KJU?start=600,https://i.ytimg.com/vi/KlVHqq38KJU/hqdefault.jpg?sqp=-oaymwEXCNACELwBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBMSMgxczk9SdDWC6RQ2SR0BbY3og,Introductory Biology,MIT,"Barbara Imperiali, Adam Martin","Ashley Li, Brian Lai, Eric Young"
Biology,https://www.youtube.com/embed/dKLkXQEN9XU?start=818,http://i3.ytimg.com/vi/dKLkXQEN9XU/maxresdefault.jpg,Neurobiology,MIT,Hazel Sive,Norimitsu Kina

Psychology,https://www.youtube.com/embed/P3FKHH2RzjI?start=244,https://i3.ytimg.com/vi/P3FKHH2RzjI/hqdefault.jpg,Introduction to Psychology,Yale,Paul Bloom,Shiming Liang
Psychology,https://www.youtube.com/embed/2OUocz6SdtQ?start=780,http://i3.ytimg.com/vi/2OUocz6SdtQ/hqdefault.jpg,Families and Couples,UCLA,Benjamin Karney,"Amy Cu, Karan Gupta, Jimmy Liu"
Psychology,https://www.youtube.com/embed/OlW917n6mpA?start=1724,https://i.ytimg.com/an_webp/OlW917n6mpA/mqdefault_6s.webp?du=3000&sqp=CMDxs4UG&rs=AOn4CLANJUxUCjebYCF5SP2WuYnugJzWOQ,Introduction to Human Behavior,Biola,Chris Grace,Yingzhe Liu
Psychology,https://www.youtube.com/embed/NNnIGh9g6fA?start=1372,https://img.youtube.com/vi/NNnIGh9g6fA/0.jpg,Human Behavioral Biology,Stanford, Robert Sapolsky,"Alec Atienza, Chance Lau, Alex Long"
Psychology,https://www.youtube.com/embed/kBdfcR-8hEY?start=1548,https://i.ytimg.com/vi/kBdfcR-8hEY/maxresdefault.jpg,Moral Reasoning,Harvard,Michael Sandel,Nicole Pavlovich
Psychology,https://www.youtube.com/embed/2fbrl6WoIyo?start=1432,http://i3.ytimg.com/vi/2fbrl6WoIyo/maxresdefault.jpg,Introduction to Psychology,MIT,John Gabrieli,Norimitsu Kina

Physical Science,https://www.youtube.com/embed/hbmf0bB38h0?start=2714,http://i3.ytimg.com/vi/hbmf0bB38h0/hqdefault.jpg,General Theory of Relativity,Stanford,Leonard Susskind,Eden Avivi and Sophie Bolotin
Physical Science,https://www.youtube.com/embed/4a0FbQdH3dY?start=1532,http://i3.ytimg.com/vi/4a0FbQdH3dY/maxresdefault.jpg,For the Love of Physics,MIT,Emeritus Walter Lewin,Jeren Raquel and Bryan Zhang
Physical Science,https://www.youtube.com/embed/WuP0esNPchs?start=1355,https://img.youtube.com/vi/WuP0esNPchs/1.jpg,Organic Chemistry,Yale,Michael McBride,Prof. Amenta 
Physical Science,https://www.youtube.com/embed/1JOmOgBBIAk?start=2255,http://i3.ytimg.com/vi/1JOmOgBBIAk/maxresdefault.jpg,Engineering Geology and Geotechnics,Missouri,David Rogers,Prof. Amenta 
Physical Science,https://www.youtube.com/embed/7LyvAVjQUR8?start=1319,https://i.ytimg.com/vi/7LyvAVjQUR8/hqdefault.jpg,Radiation History to the Present ,MIT,Michael Short,"Joshua Baylasy, John Jung"

History,https://www.youtube.com/embed/goRP7PtHx5U?start=1865,https://img.youtube.com/vi/goRP7PtHx5U/3.jpg,The Ancient World and Us,Ediburgh,Mary Beard,Prof. Amenta
History,https://www.youtube.com/embed/GDNTsdtbKy8?start=539,https://img.youtube.com/vi/GDNTsdtbKy8/mqdefault.jpg,The Dark Ages,Yale,Donald Kagan,"Alec Atienza, Chance Lau, Alex Long"
History,https://www.youtube.com/embed/E28PaeQQQC0?start=751,https://img.youtube.com/vi/E28PaeQQQC0/mqdefault.jpg,The Persian Wars,Yale,Donald Kagan,"Alec Atienza, Chance Lau, Alex Long"
History,https://www.youtube.com/embed/B2wyclHrvzo?start=283,http://i3.ytimg.com/vi/B2wyclHrvzo/maxresdefault.jpg,History of the World Since 1500 CE,Columbia,Richard Bulliet,Ben Zuniga
History,https://www.youtube.com/embed/QXXp1bHd6gI?start=1321,http://i3.ytimg.com/vi/QXXp1bHd6gI/hqdefault.jpg,The Civil War and Reconstruction,Yale,David Blight,Grant Koziol
History,https://www.youtube.com/embed/LZEThKsOtEw?start=1557,https://i.ytimg.com/vi/LZEThKsOtEw/hqdefault.jpg,Modern Civilization 1750-Present,UCLA,Lynn Hunt,"Anthony Vu, Judy Zhang, Jimmy Trinh, Lennon Cruz"

Literature,https://www.youtube.com/embed/4YY4CTSQ8nY?start=304,https://i3.ytimg.com/vi/4YY4CTSQ8nY/hqdefault.jpg,Theory of Literature,Yale,Paul H. Fry,Shiming Liang
